ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,ANUAL
AGUASCALIENTES,38.5,28.4,1.5,4.6,17.3,72.6,162.8,77.3,402.9
BAJA-CALIFORNIA,4.3,10.5,62.4,11.8,0.6,0.0,1.1,0.5,91.2
BAJA-CALIFORNIA-SUR,1.9,8.8,36.9,0.2,0.0,0.8,6.6,22.4,77.6
CAMPECHE,31.1,13.4,4.1,25.9,207.1,499.1,137.2,184.8,1102.6
COAHUILA,11.3,2.8,21.6,7.3,30.5,23.8,44.5,6.0,147.8
COLIMA,80.1,112.1,0.0,0.0,2.1,84.7,354.8,664.3,1298.1
CHIAPAS,28.4,46.9,21.0,32.4,239.4,409.1,182.5,345.9,1305.6
CHIHUAHUA,6.0,20.2,27.3,3.3,6.2,19.5,82.8,32.4,197.7
CIUDAD-DE-MÉXICO,11.3,5.3,8.1,21.9,32.8,59.7,103.8,107.8,350.6
DURANGO,16.9,18.7,2.3,1.0,5.6,31.1,143.9,49.9,269.4
GUANAJUATO,5.6,20.5,12.1,6.7,27.7,104.5,111.1,109.9,398.1
GUERRERO,4.0,4.9,2.9,7.8,11.9,133.1,179.4,307.3,651.2
HIDALGO,34.5,9.8,6.9,39.3,46.0,64.6,60.9,80.8,342.7
JALISCO,49.8,55.6,1.1,1.4,16.0,81.7,209.3,254.4,669.3
ESTADO-DE-MÉXICO,7.8,8.0,16.2,29.3,26.6,115.6,184.2,184.5,572.3
MICHOACÁN,6.8,29.8,9.0,5.1,9.8,92.5,155.9,201.0,509.9
MORELOS,4.0,7.7,14.6,8.7,32.3,248.6,348.0,337.7,1001.5
NAYARIT,60.4,61.7,0.1,0.8,9.3,53.5,303.0,349.0,837.7
NUEVO-LEÓN,13.0,3.5,15.2,37.0,80.5,72.7,171.4,14.8,408.2
OAXACA,29.5,17.0,2.8,25.9,63.5,148.6,169.1,303.2,759.6
PUEBLA,25.9,12.8,9.6,41.3,68.5,171.9,172.2,239.0,741.2
QUERÉTARO,23.7,12.5,19.3,17.2,34.4,66.4,83.3,58.6,315.4
QUINTANA-ROO,56.8,27.2,9.6,12.0,248.4,406.0,105.3,153.0,1018.3
SAN-LUIS-POTOSÍ,29.0,6.0,8.6,28.1,47.1,65.4,96.2,56.8,337.0
SINALOA,21.4,54.9,3.0,1.7,2.3,14.9,221.8,162.3,482.3
SONORA,9.2,25.6,82.1,2.5,7.3,12.0,93.5,74.8,306.9
TABASCO,75.3,137.8,18.8,36.3,281.7,385.7,92.9,303.1,1331.6
TAMAULIPAS,19.9,3.1,12.9,35.9,120.0,117.3,128.5,53.2,490.7
TLAXCALA,8.8,1.1,3.3,34.9,46.0,64.0,123.4,106.1,387.5
VERACRUZ,85.2,56.6,8.1,50.7,135.6,218.0,107.5,243.5,905.2
YUCATÁN,29.5,8.0,4.1,23.4,194.8,551.9,121.8,144.9,1078.2
ZACATECAS,27.4,19.6,2.3,2.7,13.3,56.7,153.7,51.1,326.8
NACIONAL,21.6,22.7,21.0,14.0,53.9,108.7,120.9,122.3,485.2
